id,casetype,scheduledate,time,action,suggest,comment,iscompleted,customer_id,handledby_id,,
5,Checking ,2019-06-19,11:00:00,,,,1,2,1,,
6,Urgent Repair,2019-05-31,11:00:00,,,,1,2,1,,
8,Filter replacement,2019-05-31,11:00:00,,,,1,8,1,,
9,Filter replacement,2019-05-31,11:00:00,hello,word,,1,8,1,,
10,Urgent Repair,2019-07-10,10:20:00,,,,1,8,1,,
11,Filter replacement,2019-07-16,10:00:00,,,,1,1,2,,
12,Filter replacement,2019-07-16,10:00:00,,,,1,1,1,,
17,Filter replacement,2019-07-13,10:00:00,,,,1,6,1,,
19,Filter replacement,2019-07-31,10:15:00,,,,1,6,1,,
20,Urgent Repair,2019-08-01,11:00:00,,,,1,6,1,,
21,Filter replacement,2018-04-06,10:00:00,,,,1,10,1,,
22,Installatoin,2018-04-10,10:00:00,,,,1,13,1,,
23,Filter replacement,2018-04-10,10:00:00,,,,1,16,1,,
24,Filter replacement,2018-04-10,10:00:00,,,,1,16,1,,
25,Filter replacement,2018-04-10,10:00:00,,,,1,16,1,,
26,Filter replacement,2018-06-06,10:00:00,,,,1,18,1,,
27,Filter replacement,2018-06-06,10:00:00,,,,1,23,1,,
28,Filter replacement,2018-07-04,10:00:00,,,,1,24,1,,
29,Filter replacement,2017-12-05,10:00:00,,,,1,31,1,,
30,Filter replacement,2017-12-05,10:00:00,,,,1,31,1,,
31,Filter replacement,2017-12-05,10:00:00,,,,1,31,1,,
32,Filter replacement,2018-04-12,10:00:00,,,,1,31,1,,
33,Filter replacement,2018-04-12,10:00:00,,,,1,31,1,,
34,Filter replacement,2018-04-12,10:00:00,,,,1,31,1,,
35,Filter replacement,2018-06-04,10:00:00,,,,1,31,1,,
36,Filter replacement,2018-06-04,10:00:00,,,,1,31,1,,
37,Filter replacement,2018-06-04,10:00:00,,,,1,31,1,,
38,Filter replacement,2018-06-08,10:00:00,,,,1,39,1,,
39,Checking ,2018-04-23,10:00:00,更換熱水安全制,,,1,39,1,,
40,Filter replacement,2017-12-07,10:00:00,,,,1,47,1,,
41,Filter replacement,2018-06-21,10:00:00,,,,1,47,1,,
42,Filter replacement,2018-05-11,10:00:00,,,,1,48,1,,
43,Filter replacement,2018-05-11,10:00:00,,,,1,48,1,,
44,Filter replacement,2018-04-09,10:00:00,,,,1,53,1,,
45,Filter replacement,2018-05-25,10:00:00,,,,1,55,1,,
46,Filter replacement,2017-12-06,10:00:00,,,,1,63,1,,
47,Filter replacement,2018-06-12,10:00:00,,,,1,63,1,,
48,Filter replacement,2018-03-21,10:00:00,,,,1,68,1,,
49,Filter replacement,2018-07-09,10:00:00,,,,1,68,1,,
50,Filter replacement,2018-03-26,10:00:00,,,,1,76,1,,
51,Filter replacement,2018-05-14,10:00:00,,,,1,76,1,,
52,Filter replacement,2018-04-04,10:00:00,,,,1,83,1,,
53,Filter replacement,2018-04-23,10:00:00,,,,1,85,1,,
54,Filter replacement,2018-04-25,10:00:00,,,,1,91,1,,
55,Filter replacement,2018-04-18,10:00:00,,,,1,93,1,,
56,Filter replacement,2018-04-17,10:00:00,,,,1,95,1,,
57,Filter replacement,2018-04-13,10:00:00,,,,1,99,1,,
58,Filter replacement,2018-08-06,10:00:00,,,,1,100,1,,
59,Checking ,2018-04-09,10:00:00,,,換機,1,100,1,,
60,Filter replacement,2017-12-07,10:00:00,,,,1,103,1,,
61,Filter replacement,,10:00:00,,,,1,105,1,,
62,Filter replacement,2018-06-05,10:00:00,,,,1,106,1,,
63,Filter replacement,2017-12-05,10:00:00,,,,1,107,1,,
64,Filter replacement,2018-06-21,10:00:00,,,,1,108,1,,
65,Filter replacement,2017-12-06,10:00:00,,,,1,109,1,,
66,Filter replacement,2018-06-13,10:00:00,,,,1,109,1,,
67,Filter replacement,2017-12-07,10:00:00,,,,1,110,1,,
68,Urgent Repair,2018-03-27,10:00:00,熱水制斷,,,1,127,1,,
69,Filter replacement,2018-08-07,10:00:00,,,,1,136,1,,
70,Installatoin,2018-03-28,10:00:00,,,搬機,1,147,1,,
71,Filter replacement,2018-04-09,10:00:00,,,,1,148,1,,
72,Filter replacement,2018-04-24,10:00:00,,,,1,150,1,,
73,Filter replacement,2018-04-23,10:00:00,,,,1,151,1,,
74,Filter replacement,2018-04-17,10:00:00,,,,1,152,1,,
75,Filter replacement,2018-04-23,10:00:00,,,,1,153,1,,
76,Installatoin,2018-04-23,10:00:00,,,,1,153,1,,
77,Filter replacement,2018-05-09,10:00:00,,,,1,155,1,,
78,Filter replacement,2018-05-10,10:00:00,,,,1,156,1,,
79,Filter replacement,2018-05-11,10:00:00,,,,1,162,1,,
80,Filter replacement,2018-04-30,10:00:00,,,,1,165,1,,
81,Filter replacement,2015-12-21,10:00:00,,,,1,167,1,,
82,Filter replacement,2016-06-08,10:00:00,,,,1,167,1,,
83,Filter replacement,2016-12-16,10:00:00,,,,1,167,1,,
84,Filter replacement,2017-06-15,10:00:00,N/A,N/A,N/A,1,167,1,,
85,Installatoin,2015-06-08,10:00:00,,,,1,167,1,,
86,Filter replacement,2018-06-11,10:00:00,,,,1,170,1,,
87,Filter replacement,2017-12-06,10:00:00,,,,1,171,1,,
88,Filter replacement,2018-06-05,10:00:00,,,,1,171,1,,
89,Filter replacement,2018-07-17,10:00:00,,,,1,171,1,,
90,Filter replacement,2018-07-04,10:00:00,,,,1,173,1,,
91,Installatoin,2018-03-27,10:00:00,,,搬機,1,173,1,,
92,Filter replacement,2018-06-29,10:00:00,,,,1,174,1,,
93,Filter replacement,2018-07-17,10:00:00,,,,1,179,1,,
94,Filter replacement,2016-03-01,10:00:00,,,,1,191,1,,
95,Filter replacement,2017-02-17,10:00:00,,,,1,191,1,,
96,Filter replacement,2017-08-10,10:00:00,,,,1,191,1,,
97,Filter replacement,2018-08-22,10:00:00,,,,1,191,1,,
98,Installatoin,2016-08-16,10:00:00,,,,1,191,1,,
99,Filter replacement,2017-08-08,10:00:00,,,,1,192,1,,
100,Filter replacement,2017-02-08,10:00:00,,,,1,192,1,,
101,Filter replacement,2016-08-22,10:00:00,,,,1,192,1,,
102,Filter replacement,2016-02-03,10:00:00,,,,1,192,1,,
103,Installatoin,2015-08-03,10:00:00,,,,1,192,1,,
104,Checking ,2015-07-31,10:00:00,,,,1,192,1,,
105,Filter replacement,2016-02-23,10:00:00,,,,1,204,1,,
106,Filter replacement,2016-08-22,10:00:00,,,,1,204,1,,
107,Filter replacement,2017-02-15,10:00:00,,,,1,204,1,,
108,Filter replacement,2017-08-08,10:00:00,,,,1,204,1,,
109,Installatoin,2015-08-27,10:00:00,,,,1,204,1,,
110,Urgent Repair,2017-06-30,10:00:00,Cold water n,take ,,1,204,1,,
111,Urgent Repair,2017-07-24,10:00:00,Send back th,,,1,204,1,,
112,Filter replacement,2016-02-16,10:00:00,,,,1,207,1,,
113,Filter replacement,2016-08-24,10:00:00,,,,1,207,1,,
114,Filter replacement,2017-02-27,10:00:00,,,,1,207,1,,
115,Filter replacement,2018-08-07,10:00:00,,,,1,207,1,,
116,Installatoin,2015-08-28,10:00:00,,,,1,207,1,,
117,Urgent Repair,2015-10-19,10:00:00,"No sound , S",,,1,207,1,,
118,Filter replacement,2016-02-24,10:00:00,,,,1,209,1,,
119,Filter replacement,2016-08-30,10:00:00,,,,1,209,1,,
120,Installatoin,2017-02-27,10:00:00,,,,1,209,1,,
121,Filter replacement,2016-02-23,10:00:00,,,,1,210,1,,
122,Filter replacement,2016-08-23,10:00:00,,,,1,210,1,,
123,Filter replacement,2017-02-15,10:00:00,,,,1,210,1,,
124,Installatoin,2015-08-31,10:00:00,,,,1,210,1,,
125,Installatoin,2018-04-09,10:00:00,,,搬機,1,210,1,,
126,Filter replacement,2018-04-25,10:00:00,,,,1,229,1,,
127,Filter replacement,2018-04-27,10:00:00,,,,1,231,1,,
128,Filter replacement,2018-04-06,10:00:00,,,,1,233,1,,
129,Filter replacement,2018-04-06,10:00:00,,,,1,235,1,,
130,Filter replacement,2018-04-25,10:00:00,,,,1,236,1,,
131,Filter replacement,2018-04-09,10:00:00,,,,1,237,1,,
132,Filter replacement,2018-04-13,10:00:00,,,,1,238,1,,
133,Filter replacement,2018-04-18,10:00:00,,,,1,240,1,,
134,Filter replacement,2108-04-09,10:00:00,,,,1,243,1,,
135,Filter replacement,2018-04-04,10:00:00,,,,1,244,1,,
137,Filter replacement,2018-05-10,10:00:00,,,,1,247,1,,
138,Filter replacement,2018-05-08,10:00:00,,,,1,248,1,,
139,Filter replacement,2017-08-14,10:00:00,,,,1,249,1,,
140,Filter replacement,2017-02-14,10:00:00,,,,1,249,1,,
141,Installatoin,2015-11-25,10:00:00,,,,1,249,1,,
142,Checking ,2015-11-13,10:00:00,,,,1,249,1,,
143,Filter replacement,2018-05-10,10:00:00,,,,1,251,1,,
144,Filter replacement,,10:00:00,,,,1,252,1,,
145,Filter replacement,2018-06-06,10:00:00,,,,1,252,1,,
146,Filter replacement,2018-05-08,10:00:00,,,,1,253,1,,
147,Filter replacement,2018-06-15,10:00:00,,,,1,254,1,,
148,Filter replacement,2017-12-05,10:00:00,,,,1,255,1,,
149,Filter replacement,2018-06-08,10:00:00,,,,1,255,1,,
150,Filter replacement,2016-08-10,10:00:00,,,,1,261,1,,
151,Filter replacement,2016-01-07,10:00:00,,,,1,261,1,,
152,Filter replacement,2017-02-20,10:00:00,,,,1,261,1,,
153,Filter replacement,2017-08-09,10:00:00,,,,1,261,1,,
154,Filter replacement,2018-08-07,10:00:00,,,,1,261,1,,
155,Urgent Repair,2016-09-12,10:00:00,water leak,fixed,,1,261,1,,
156,Filter replacement,2018-07-05,10:00:00,,,,1,263,1,,
157,Filter replacement,2018-07-10,10:00:00,,,,1,264,1,,
158,Filter replacement,2018-06-01,10:00:00,,,,1,265,1,,
159,Filter replacement,2018-06-01,10:00:00,,,,1,265,1,,
160,Filter replacement,2018-06-01,10:00:00,,,,1,265,1,,
161,Filter replacement,2016-08-16,10:00:00,,,,1,266,1,,
162,Filter replacement,2017-02-17,10:00:00,,,,1,266,1,,
163,Urgent Repair,2016-05-10,10:00:00,Water leak f,site ,,1,266,1,,
164,Urgent Repair,2017-08-08,10:00:00,Exchange a n,Excha,,1,266,1,,
165,Filter replacement,2018-04-16,10:00:00,,,,1,270,1,,
166,Filter replacement,2018-04-04,10:00:00,,,,1,274,1,,
167,Filter replacement,2018-04-13,10:00:00,,,,1,276,1,,
168,Filter replacement,2018-04-04,10:00:00,,,,1,279,1,,
169,Filter replacement,2018-04-09,10:00:00,,,,1,280,1,,
170,Filter replacement,2018-05-04,10:00:00,,,,1,281,1,,
171,Filter replacement,2018-05-03,10:00:00,,,,1,282,1,,
172,Filter replacement,2018-05-02,10:00:00,,,,1,283,1,,
173,Filter replacement,2018-05-08,10:00:00,,,,1,285,1,,
174,Filter replacement,2018-05-03,10:00:00,,,,1,287,1,,
175,Filter replacement,2018-05-04,10:00:00,,,,1,289,1,,
176,Filter replacement,2017-08-01,10:00:00,,,,1,290,1,,
177,Filter replacement,2017-08-01,10:00:00,,,,1,290,1,,
178,Filter replacement,2016-02-08,10:00:00,,,,1,290,1,,
179,Filter replacement,2017-02-08,10:00:00,,,,1,290,1,,
180,Filter replacement,2018-07-18,10:00:00,,,,1,290,1,,
181,Filter replacement,2018-07-18,10:00:00,,,,1,290,1,,
182,Installatoin,2016-08-12,10:00:00,,,,1,290,1,,
183,Urgent Repair,2016-11-02,10:00:00,,,,1,290,1,,
184,Urgent Repair,2016-09-30,10:00:00,,,,1,290,1,,
185,Checking ,2016-07-19,10:00:00,,,,1,290,1,,
186,Checking ,2018-05-03,10:00:00,無水出,,,1,290,1,,
187,Filter replacement,2018-06-12,10:00:00,,,,1,293,1,,
188,Filter replacement,2018-06-06,10:00:00,,,,1,294,1,,
189,Filter replacement,2017-12-06,10:00:00,,,,1,295,1,,
190,Filter replacement,2017-12-06,10:00:00,,,,1,295,1,,
191,Filter replacement,2018-06-05,10:00:00,,,,1,295,1,,
192,Filter replacement,2018-06-05,10:00:00,,,,1,295,1,,
193,Filter replacement,2018-06-15,10:00:00,,,,1,298,1,,
194,Filter replacement,2017-12-05,10:00:00,,,,1,300,1,,
195,Filter replacement,2018-06-13,10:00:00,,,,1,301,1,,
196,Filter replacement,2018-06-13,10:00:00,,,,1,302,1,,
197,Filter replacement,2018-07-20,10:00:00,,,,1,305,1,,
198,Filter replacement,2018-06-11,10:00:00,,,,1,306,1,,
199,Filter replacement,2018-06-13,10:00:00,,,,1,307,1,,
200,Filter replacement,2018-06-29,10:00:00,,,,1,308,1,,
201,Filter replacement,2018-07-12,10:00:00,,,,1,309,1,,
202,Filter replacement,2018-06-29,10:00:00,,,,1,310,1,,
203,Filter replacement,2017-08-02,10:00:00,,,,1,312,1,,
204,Filter replacement,2017-02-13,10:00:00,,,,1,312,1,,
205,Filter replacement,2017-02-07,10:00:00,,,,1,313,1,,
206,Installatoin,2016-08-03,10:00:00,,,,1,313,1,,
207,Filter replacement,2017-02-08,10:00:00,,,,1,314,1,,
208,Filter replacement,2018-08-14,10:00:00,,,,1,314,1,,
209,Installatoin,2016-08-03,10:00:00,,,,1,314,1,,
210,Checking ,2017-08-08,10:00:00,,,,1,314,1,,
211,Filter replacement,2017-08-14,10:00:00,,,,1,315,1,,
212,Filter replacement,2017-02-08,10:00:00,,,,1,315,1,,
213,Installatoin,2016-08-09,10:00:00,,,,1,315,1,,
214,Filter replacement,2017-08-03,10:00:00,,,,1,316,1,,
215,Filter replacement,2017-08-03,10:00:00,,,,1,316,1,,
216,Filter replacement,2017-02-15,10:00:00,,,,1,316,1,,
217,Filter replacement,2017-02-15,10:00:00,,,,1,316,1,,
218,Installatoin,2016-08-29,10:00:00,,,,1,316,1,,
219,Installatoin,2016-08-29,10:00:00,,,,1,316,1,,
220,Urgent Repair,2017-04-20,10:00:00,,,,1,316,1,,
221,Urgent Repair,2016-12-15,10:00:00,,,,1,316,1,,
222,Urgent Repair,2016-12-15,10:00:00,,,,1,316,1,,
223,Filter replacement,2017-07-31,10:00:00,,,,1,317,1,,
224,Filter replacement,2017-07-31,10:00:00,,,,1,317,1,,
225,Filter replacement,2017-02-07,10:00:00,,,,1,317,1,,
226,Filter replacement,2017-02-07,10:00:00,,,,1,317,1,,
227,Installatoin,2017-08-25,10:00:00,,,,1,317,1,,
228,Installatoin,2017-08-25,10:00:00,,,,1,317,1,,
229,Filter replacement,2017-08-01,10:00:00,,,,1,319,1,,
230,Filter replacement,2017-02-14,10:00:00,,,,1,319,1,,
231,Installatoin,2016-08-15,10:00:00,,,,1,319,1,,
232,Urgent Repair,2017-08-08,10:00:00,,,,1,319,1,,
233,Checking ,2017-08-12,10:00:00,,,,1,319,1,,
234,Filter replacement,2017-08-07,10:00:00,,,,1,320,1,,
235,Filter replacement,2016-02-16,10:00:00,,,,1,320,1,,
236,Filter replacement,2018-08-14,10:00:00,,,,1,320,1,,
237,Installatoin,2016-08-22,10:00:00,,,,1,320,1,,
238,Checking ,2016-08-15,10:00:00,,,,1,320,1,,
239,Filter replacement,2017-02-24,10:00:00,,,,1,321,1,,
240,Filter replacement,2016-11-25,10:00:00,,,,1,321,1,,
241,Filter replacement,2018-02-13,10:00:00,,,,1,321,1,,
242,Installatoin,2016-08-25,10:00:00,,,,1,321,1,,
243,Checking ,2018-04-06,10:00:00,,,加WiFi,1,321,1,,
244,Urgent Repair,2017-03-01,10:00:00,,,,1,321,1,,
245,Checking ,2016-07-21,10:00:00,,,,1,321,1,,
246,Filter replacement,2017-08-14,10:00:00,,,,1,322,1,,
247,Filter replacement,2017-02-14,10:00:00,,,,1,322,1,,
248,Installatoin,2016-08-19,10:00:00,,,,1,322,1,,
249,Urgent Repair,2016-10-05,10:00:00,,,,1,322,1,,
250,Urgent Repair,2016-08-24,10:00:00,,,,1,322,1,,
251,Filter replacement,2016-02-16,10:00:00,,,,1,323,1,,
252,Filter replacement,2017-08-11,10:00:00,,,,1,323,1,,
253,Installatoin,2016-08-24,10:00:00,,,,1,323,1,,
254,Checking ,2016-08-22,10:00:00,,,,1,323,1,,
255,Filter replacement,2017-02-17,10:00:00,,,,1,324,1,,
256,Filter replacement,2016-08-26,10:00:00,,,,1,324,1,,
257,Urgent Repair,2016-09-20,10:00:00,,,,1,324,1,,
258,Urgent Repair,2016-08-24,10:00:00,,,,1,324,1,,
259,Filter replacement,2017-03-08,10:00:00,,,,1,326,1,,
260,Filter replacement,2017-09-04,10:00:00,,,,1,326,1,,
261,Filter replacement,2018-03-19,10:00:00,,,,1,326,1,,
262,Installatoin,2016-09-05,10:00:00,,,,1,326,1,,
263,Filter replacement,2018-05-16,10:00:00,,,,1,327,1,,
264,Filter replacement,2018-06-08,10:00:00,,,,1,331,1,,
265,Filter replacement,2018-06-08,10:00:00,,,,1,331,1,,
266,Filter replacement,2018-06-08,10:00:00,,,,1,331,1,,
267,Filter replacement,2018-06-08,10:00:00,,,,1,331,1,,
268,Filter replacement,2018-06-08,10:00:00,,,,1,331,1,,
269,Filter replacement,2018-06-08,10:00:00,,,,1,331,1,,
270,Filter replacement,2018-06-08,10:00:00,,,,1,331,1,,
271,Filter replacement,2018-04-25,10:00:00,,,,1,335,1,,
272,Installatoin,2018-06-05,10:00:00,,,,1,339,1,,
273,Filter replacement,2018-04-10,10:00:00,,,,1,340,1,,
274,Filter replacement,2018-04-03,10:00:00,,,,1,342,1,,
275,Filter replacement,2018-05-10,10:00:00,,,,1,343,1,,
276,Filter replacement,2018-04-09,10:00:00,,,,1,346,1,,
277,Filter replacement,2018-04-04,10:00:00,,,,1,347,1,,
278,Filter replacement,2018-04-03,10:00:00,,,,1,349,1,,
279,Filter replacement,2018-04-26,10:00:00,,,,1,350,1,,
280,Filter replacement,2018-04-03,10:00:00,,,,1,351,1,,
281,Filter replacement,2018-04-09,10:00:00,,,,1,352,1,,
282,Filter replacement,2018-06-11,10:00:00,,,,1,355,1,,
283,Filter replacement,2018-05-25,10:00:00,,,,1,357,1,,
284,Filter replacement,2018-06-12,10:00:00,,,,1,359,1,,
285,Filter replacement,2018-05-04,10:00:00,,,,1,360,1,,
286,Filter replacement,2018-07-11,10:00:00,,,,1,361,1,,
287,Filter replacement,2018-07-04,10:00:00,,,,1,364,1,,
288,Filter replacement,2018-07-04,10:00:00,,,,1,364,1,,
289,Filter replacement,2018-07-12,10:00:00,,,,1,368,1,,
290,Filter replacement,2018-07-18,10:00:00,,,,1,369,1,,
291,Filter replacement,2018-04-17,10:00:00,,,,1,370,1,,
292,Filter replacement,2018-04-17,10:00:00,,,,1,370,1,,
293,Filter replacement,2018-04-17,10:00:00,,,,1,370,1,,
294,Filter replacement,2018-07-09,10:00:00,,,,1,371,1,,
295,Checking ,2018-04-13,10:00:00,出水慢,,,1,374,1,,
296,Filter replacement,2018-07-17,10:00:00,,,,1,375,1,,
297,Filter replacement,2018-05-07,10:00:00,,,,1,376,1,,
298,Checking ,2018-04-26,10:00:00,Pantry水機出水慢,,,1,381,1,,
299,Filter replacement,2018-08-06,10:00:00,,,,1,386,1,,
300,Filter replacement,2018-03-22,10:00:00,,,,1,388,1,,
301,Filter replacement,2018-08-07,10:00:00,,,,1,388,1,,
302,Filter replacement,2018-03-21,10:00:00,,,,1,390,1,,
303,Installatoin,2017-03-03,10:00:00,Installation,,,1,392,1,,
304,Filter replacement,2018-03-26,10:00:00,,,,1,395,1,,
305,Filter replacement,2018-04-12,10:00:00,,,,1,396,1,,
306,Filter replacement,2018-03-21,10:00:00,,,,1,397,1,,
307,Filter replacement,2018-03-21,10:00:00,,,,1,398,1,,
308,Filter replacement,2018-05-04,10:00:00,,,,1,400,1,,
309,Filter replacement,2018-04-10,10:00:00,,,,1,401,1,,
310,Filter replacement,2018-04-26,10:00:00,,,,1,402,1,,
311,Filter replacement,2018-06-01,10:00:00,,,,1,403,1,,
312,Filter replacement,2018-06-01,10:00:00,,,,1,403,1,,
313,Filter replacement,2018-06-01,10:00:00,,,,1,403,1,,
314,Filter replacement,2018-06-01,10:00:00,,,,1,403,1,,
315,Filter replacement,2018-04-13,10:00:00,,,,1,405,1,,
316,Filter replacement,2018-04-13,10:00:00,,,,1,408,1,,
317,Filter replacement,2018-04-09,10:00:00,,,,1,409,1,,
318,Filter replacement,2018-04-25,10:00:00,,,,1,411,1,,
319,Filter replacement,2018-04-27,10:00:00,,,,1,412,1,,
320,Filter replacement,2018-05-07,10:00:00,,,,1,415,1,,
321,Filter replacement,2017-12-07,10:00:00,,,,1,418,1,,
322,Filter replacement,2017-12-07,10:00:00,,,,1,418,1,,
323,Filter replacement,2017-12-07,10:00:00,,,,1,418,1,,
324,Filter replacement,2017-12-07,10:00:00,,,,1,418,1,,
325,Filter replacement,2017-12-07,10:00:00,,,,1,418,1,,
326,Filter replacement,2017-12-07,10:00:00,,,,1,418,1,,
327,Filter replacement,2017-12-07,10:00:00,,,,1,418,1,,
328,Filter replacement,2018-05-09,10:00:00,,,,1,420,1,,
329,Filter replacement,2018-08-07,10:00:00,,,,1,425,1,,
330,Filter replacement,2017-12-07,10:00:00,,,,1,428,1,,
331,Filter replacement,2018-04-27,10:00:00,,,,1,428,1,,
332,Filter replacement,2018-08-07,10:00:00,,,,1,428,1,,
333,Filter replacement,2018-05-02,10:00:00,,,,1,431,1,,
334,Filter replacement,2018-04-27,10:00:00,,,,1,436,1,,
335,Filter replacement,2018-04-27,10:00:00,,,,1,436,1,,
336,Filter replacement,2018-04-27,10:00:00,,,,1,436,1,,
337,Filter replacement,2018-06-12,10:00:00,,,,1,438,1,,
338,Filter replacement,2018-04-04,10:00:00,,,,1,442,1,,
339,Installatoin,2017-06-19,10:00:00,,,,1,452,1,,
340,Installatoin,2017-06-20,10:00:00,,,,1,454,1,,
341,Filter replacement,2018-05-09,10:00:00,,,,1,455,1,,
342,Filter replacement,2018-06-11,10:00:00,,,,1,455,1,,
343,Filter replacement,2018-08-07,10:00:00,,,,1,457,1,,
344,Filter replacement,2018-08-07,10:00:00,,,,1,457,1,,
345,Filter replacement,2018-07-24,10:00:00,,,,1,458,1,,
346,Filter replacement,2018-07-17,10:00:00,,,,1,460,1,,
347,Filter replacement,2018-07-13,10:00:00,,,,1,461,1,,
348,Filter replacement,2018-06-19,10:00:00,,,,1,462,1,,
349,Filter replacement,2018-07-09,10:00:00,,,,1,463,1,,
350,Filter replacement,2017-12-20,10:00:00,,,,1,464,1,,
351,Filter replacement,2018-06-05,10:00:00,,,,1,464,1,,
352,Installatoin,2017-06-22,10:00:00,,,,1,464,1,,
353,Filter replacement,2018-06-14,10:00:00,,,,1,465,1,,
354,Filter replacement,2018-06-14,10:00:00,,,,1,465,1,,
355,Filter replacement,2018-06-04,10:00:00,,,,1,466,1,,
356,Filter replacement,2018-06-05,10:00:00,,,,1,467,1,,
357,Filter replacement,2018-04-26,10:00:00,,,,1,468,1,,
